type,cost,country,carrier,units,2030,2040,2050
generators,marginal,FI,solar,Euro,4915.990681004398,28559.075656659348,28555.83475710653
generators,marginal,FI,solar rooftop,Euro,37099.1677714476,79559.52485335752,122013.04888368312
generators,marginal,FR,offwind,Euro,19622.76128436937,18203.06692113287,0.0
generators,marginal,FR,onwind,Euro,1856051.9394076592,4922178.43235121,7049920.288415358
generators,marginal,FR,solar,Euro,1217137.723975813,1222353.7839171365,3094560.5463021034
generators,marginal,FR,solar rooftop,Euro,583592.5024127327,1274272.118187247,1958341.781535218
generators,marginal,GB,offwind,Euro,760168.2398715325,176554.26715096252,0.0
generators,marginal,GB,offwind-dc,Euro,0.5658471196479927,0.5683490654488507,311419.72956828034
generators,marginal,GB,onwind,Euro,5331425.264857254,11772132.833482249,17402222.22378977
generators,marginal,GB,solar,Euro,134905.06402476315,176266.07957206827,1085704.9351532469
generators,marginal,GB,solar rooftop,Euro,380330.372739251,939659.8991754259,1498997.089086247
generators,marginal,GR,onwind,Euro,79789.69784289034,11913.709996067466,0.0678762541859076
generators,marginal,GR,solar,Euro,274264.71348375606,304617.3831033126,853830.7673494465
generators,marginal,GR,solar rooftop,Euro,120277.21099981511,240331.25771511713,358470.76543236023
generators,marginal,HR,onwind,Euro,13142.20058693449,3058.052833406361,0.0062590907303334
generators,marginal,HR,solar,Euro,2126.1648505197413,33101.678741120755,79140.80888492691
generators,marginal,HR,solar rooftop,Euro,45069.7141774233,90120.10328837697,134078.55113882798
generators,marginal,HU,onwind,Euro,6741.22104909757,0.0421993575634075,0.0529449069300731
generators,marginal,HU,solar,Euro,34141.14408277694,34018.19855281386,49997.80746792171
generators,marginal,HU,solar rooftop,Euro,112640.7426639321,224920.87488158533,336696.9500059381
generators,marginal,IE,offwind,Euro,1244.482632750777,0.0,0.0
generators,marginal,IE,onwind,Euro,210661.8066488877,49869.14919439853,2284848.60176079
generators,marginal,IE,solar,Euro,0.0475979532372663,0.0943141379926005,209825.84940230867
generators,marginal,IE,solar rooftop,Euro,38043.42935470924,76083.66215173143,114125.04435789277
generators,marginal,IT,onwind,Euro,154087.49109865713,319932.1132367466,317716.23096076597
generators,marginal,IT,solar,Euro,1616105.8473105999,1711249.2963224594,2966451.0702694915
generators,marginal,IT,solar rooftop,Euro,708711.6735539371,1424870.2852005681,2133397.9170048055
generators,marginal,LT,onwind,Euro,24897.541217124264,8254.698019358466,0.1097361428648272
generators,marginal,LT,solar,Euro,3750.405663571366,3749.3012043462622,3747.30328907433
generators,marginal,LT,solar rooftop,Euro,26468.11065478593,52934.29382567107,79399.62308272009
generators,marginal,LU,onwind,Euro,5058.952211417907,828.6682640573059,0.0453184882274186
generators,marginal,LU,solar,Euro,2972.315618187099,2970.604701492081,13901.687023947445
generators,marginal,LU,solar rooftop,Euro,5502.648735132507,11003.053195871846,16500.28630596257
generators,marginal,LV,onwind,Euro,4056.963679143308,1907.6592137003297,0.1674583193018454
generators,marginal,LV,solar rooftop,Euro,17345.024306719595,34687.54185090757,52030.84599557013
generators,marginal,ME,solar,Euro,239.38976033775828,230.82203874872891,56432.86069021634
generators,marginal,ME,solar rooftop,Euro,8535.780644806926,16955.078104359432,25159.26467958634
generators,marginal,MK,solar,Euro,1135.408206568538,21227.80268252696,214850.15828403467
generators,marginal,MK,solar rooftop,Euro,26952.734622441996,53614.352722344054,79304.71136444237
generators,marginal,NL,offwind,Euro,147113.16758372163,5964.9639866791895,0.0
generators,marginal,NL,onwind,Euro,999694.2835040484,1074387.3939854768,1274071.0907787343
generators,marginal,NL,solar,Euro,178711.84480698942,178709.4487408393,281021.14014138695
generators,marginal,NL,solar rooftop,Euro,145931.08520925845,291858.5944257056,437769.28645351157
generators,marginal,NO,offwind,Euro,2270.2952405926367,2256.861505529636,0.0
generators,marginal,NO,offwind-dc,Euro,0.294335312959231,183867.74233969723,183374.8239821895
generators,marginal,NO,onwind,Euro,119204.13489346282,24392.70505297528,0.2848835713320373
generators,marginal,NO,solar,Euro,2168.078098316252,18063.626211830964,18061.69395802702
generators,marginal,NO,solar rooftop,Euro,18008.732058769394,52665.74859188568,79161.72337259274
generators,marginal,PL,onwind,Euro,701339.0114537088,1503269.6544708912,2213121.0555084227
generators,marginal,PL,solar,Euro,104965.46565715571,104962.31355628847,104956.80830390834
generators,marginal,PL,solar rooftop,Euro,355089.46107503626,710159.7254878562,1065193.533716949
generators,marginal,PT,onwind,Euro,126591.91834909821,7383.065840569554,0.1372277637294178
generators,marginal,PT,solar,Euro,166952.70345384174,252296.0703402207,643192.2550293253
generators,marginal,PT,solar rooftop,Euro,127675.17896308079,254799.27923807,382680.3436259661
generators,marginal,RO,onwind,Euro,50449.01470466187,0.0314052157572179,0.0316609828392268
generators,marginal,RO,solar,Euro,16994.776442780523,16856.28267439418,183964.82398091783
generators,marginal,RO,solar rooftop,Euro,217910.49853543087,449266.3251496679,678317.9111064448
generators,marginal,RS,onwind,Euro,5286.393845229594,0.0147057970877455,0.0155715928851836
generators,marginal,RS,solar,Euro,0.20768352574652882,0.19135898471870832,76259.93995227512
generators,marginal,RS,solar rooftop,Euro,85641.74422024528,169529.72812529086,250423.08419569288
generators,marginal,SE,offwind,Euro,8987.719878914859,0.0,0.0
generators,marginal,SE,onwind,Euro,386898.14787032997,383957.00412376784,410186.72531350056
generators,marginal,SE,solar,Euro,23524.02168985331,246584.6477974752,246581.15413567342
generators,marginal,SE,solar rooftop,Euro,83593.31022443314,168889.7412084846,254167.99745099814
generators,marginal,SI,solar,Euro,6935.297774611735,6836.461162840441,6389.315654466342
generators,marginal,SI,solar rooftop,Euro,24787.25170530284,49514.49944596365,72991.09816192914
generators,marginal,SK,solar,Euro,6974.334775879715,6972.771670337638,6927.686004984323
generators,marginal,SK,solar rooftop,Euro,58146.08287513063,116288.8393791845,174239.3011239076
lines,capital,EU,AC,Euro,6645279359.203257,8119918641.044041,10305337297.194515
links,capital,AL,H2 Electrolysis,Euro,109.79048089908268,215.4007682902966,432815014.8043987
links,capital,AL,biogas to gas,Euro,65.27178965504844,31.685578379469582,2693170.600909242
links,capital,AL,electricity distribution grid,Euro,42182928.51927559,42182980.30203164,46424766.69370888
links,capital,AL,home battery charger,Euro,164.2287589742481,15357643.08227216,27982398.983751483
links,capital,AL,methanolisation,Euro,1370.1145453552112,4926.34267077775,8961428.331543474
links,capital,AL,oil,Euro,5789657.009961599,5789618.644985275,5789608.300281931
links,capital,AL,process emissions CC,Euro,162.4534042139812,4008.942934219676,2141682.9985859343
links,capital,AL,residential rural biomass boiler,Euro,10212582.868922144,11456599.77303394,14978250.717355575
links,capital,AL,residential rural gas boiler,Euro,765.1552026673786,2941350.1469498193,2941391.6577618006
links,capital,AL,residential rural ground heat pump,Euro,10247149.33241765,10897806.76518601,21369806.900790337
links,capital,AL,residential rural oil boiler,Euro,6726561.523738428,6726587.537100977,6726572.540966758
links,capital,AL,residential rural resistive heater,Euro,1328499.3547830156,1328543.5875447125,1524586.7840011711
links,capital,AL,residential urban decentral air heat pump,Euro,4588158.293088043,2974152.4081380344,4522444.948203965
links,capital,AL,residential urban decentral biomass boiler,Euro,10441500.64241386,10594051.243352318,10441661.36777711
links,capital,AL,residential urban decentral gas boiler,Euro,777.7719017561748,675722.9558772908,29.447245888728563
