carrier,component,node,item,2030,2040,2050,units,sector
AC,links,AL,H2 Electrolysis0,-3.4621239840905623e-06,-6.21976521639486e-06,-13.595378706777646,TWh,Hydrogen production
AC,links,AL,H2 Fuel Cell1,1.2085366285175048e-06,4.611783818654233e-07,2.608530520668418e-07,TWh,Fuel Cell
AC,links,AL,Haber-Bosch0,-4.78987060459878e-05,-1.8295741552238028e-06,-4.227406767883171e-06,TWh,Ammonia production
AC,links,AL,OCGT1,9.241195020982723e-07,3.102127082259142e-07,9.429099761740498e-08,TWh,Gas
AC,links,AL,battery charger0,-1.053469529591219e-05,-5.475179778887185e-06,-6.95053655150893e-06,TWh,
AC,links,AL,battery discharger1,9.48122618365416e-06,4.927662014813018e-06,6.255483175960217e-06,TWh,
AC,links,AL,coal1,1.7190940549964405e-06,5.03745687865993e-07,1.8290669106047736e-07,TWh,Coal/Lignite
AC,links,AL,electricity distribution grid0,-4.329341023543355,-2.095539205545552,0.4159116911326946,TWh,
AC,links,AL,helmeth0,-1.3118993998326801e-06,-4.973126160272402e-07,-4.07009158878096e-07,TWh,Methane production
AC,links,AL,methanolisation2,-3.541320694886484e-05,-0.00014556247422974362,-0.2719607239328059,TWh,Methanol production
AC,links,AL,nuclear (SMR)1,1.7062027619370998e-08,6.873862740600564e-09,3.0240862027702197e-09,TWh,Nuclear
AC,links,AL,nuclear1,2.4838897324479496e-06,1.9298343007730066e-06,8.658041349450474e-07,TWh,Nuclear
AC,links,AL,oil1,1.1490047951851312e-06,4.4284206909295144e-07,1.813639889079417e-07,TWh,Oil
AC,links,AL,solid biomass1,1.721156798754483e-06,9.040470175983504e-07,4.3303269351656864e-07,TWh,Solid Biomass
AC,links,AL,urban central gas CHP CC1,1.9422432426537283e-06,7.809814720453418e-07,2.126165495029949e-07,TWh,CHP
AC,links,AL,urban central gas CHP1,2.974077307038537e-06,1.3155462741647459e-06,3.138672699969374e-07,TWh,CHP
AC,links,AL,urban central solid biomass CHP CC1,2.5752846072011266e-06,1.179627895697716e-06,9.242799166076712e-07,TWh,CHP
AC,links,AL,urban central solid biomass CHP1,0.06441840288776612,0.08588067632864904,0.11284925916247515,TWh,CHP
AC,links,AT,CCGT1,8.201145123521732,7.967222864237022,1.2033502111405436,TWh,Gas
AC,links,AT,DAC2,-3.6972046646156583e-07,-1.196406110962284e-07,-9.54687838238025e-08,TWh,DAC
AC,links,AT,H2 Electrolysis0,-2.7798321188335214e-06,-2.718391338078878e-06,-6.631121276018712e-06,TWh,Hydrogen production
AC,links,AT,H2 Fuel Cell1,1.334972646180357e-06,5.519005508926131e-07,4.4488403189747043e-07,TWh,Fuel Cell
AC,links,AT,Haber-Bosch0,-1.1681781942025722e-05,-9.190304296568756e-07,-7.548119330192699e-07,TWh,Ammonia production
AC,links,AT,OCGT1,9.891912393252362e-07,3.186507154868125e-07,1.008907378792193e-07,TWh,Gas
AC,links,AT,battery charger0,-9.95217129844406e-06,-4.446648203857763e-06,-4.530310328727722e-06,TWh,
AC,links,AT,battery discharger1,8.956954585933284e-06,4.001983597286346e-06,4.077279575460329e-06,TWh,
AC,links,AT,coal1,1.74651444357205e-06,5.078373353044828e-07,1.858756498320036e-07,TWh,Coal/Lignite
AC,links,AT,electricity distribution grid0,-81.30657227852166,-87.78319501520173,-96.20528975185213,TWh,
AC,links,AT,helmeth0,-1.2642480079549e-06,-7.109307042117259e-07,-8.039937163874599e-07,TWh,Methane production
AC,links,AT,methanolisation2,-2.248235881272144e-05,-3.226160624760387e-05,-1.3802417533617074e-05,TWh,Methanol production
AC,links,AT,nuclear (SMR)1,1.746168528802286e-08,7.1077678316292e-09,3.040882487694583e-09,TWh,Nuclear
AC,links,AT,nuclear1,2.6992704323484563e-06,1.8081353329787668e-06,1.4037312802037874e-06,TWh,Nuclear
AC,links,AT,oil1,5.575817534278359e-07,1.335990234326991e-07,3.409779507667551e-08,TWh,Oil
AC,links,AT,residential rural ground heat pump0,-0.9607612404506111,,,TWh,Heat
AC,links,AT,residential urban decentral air heat pump0,-0.6971449093828338,,,TWh,Heat
AC,links,AT,services rural ground heat pump0,-0.39210275933310434,,,TWh,Heat
AC,links,AT,services urban decentral air heat pump0,-0.2028384086185125,,,TWh,Heat
AC,links,AT,solid biomass1,1.4105433953928635e-06,7.723470805105978e-07,3.637630923826337e-07,TWh,Solid Biomass
AC,links,AT,urban central air heat pump0,-0.9108231877773425,,,TWh,Heat
AC,links,AT,urban central gas CHP CC1,2.2644797194497164e-06,1.0747748609281104e-06,3.0404387181102455e-07,TWh,CHP
AC,links,AT,urban central gas CHP1,3.2639664037470947e-06,1.6984274246518082e-06,6.08753422062426e-07,TWh,CHP
AC,links,AT,urban central solid biomass CHP CC1,2.4604448788095485e-06,2.1922022968881685e-06,2.0207510589304465e-06,TWh,CHP
AC,links,AT,urban central solid biomass CHP1,2.6430735650485944,2.9319913486922804,2.0522234977442073,TWh,CHP
AC,links,BA,CCGT1,3.1533718484584372e-06,1.3174649232415863e-06,2.6945041057941207e-07,TWh,Gas
AC,links,BA,DAC2,-3.732587935562192e-07,-1.371715042490861e-07,-1.141919747232105e-07,TWh,DAC
AC,links,BA,H2 Electrolysis0,-3.233110516064103e-06,-3.298025570787576e-06,-1.4554349774952134e-05,TWh,Hydrogen production
AC,links,BA,H2 Fuel Cell1,1.2761327772789016e-06,4.6806843980795364e-07,2.9793688975840913e-07,TWh,Fuel Cell
AC,links,BA,Haber-Bosch0,-1.4428911004535418e-05,-1.2426276270909422e-06,-1.0263336449630537e-06,TWh,Ammonia production
AC,links,BA,OCGT1,9.412205042357675e-07,3.1339132352701597e-07,9.660090192528102e-08,TWh,Gas
