cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,,2030,2040,2050
generators,capital,ES1 11,solar,74862900.22336665,1577575549.5873709,1577538193.0409381
generators,capital,ES1 11,solar rooftop,79061066.45686486,141518930.21463528,196171272.85726076
generators,capital,ES1 12,offwind-ac,103.11350701895702,51.42527511753314,59.460748218677345
generators,capital,ES1 12,onwind,344867872.20321804,29256347.104226466,183.54724896811385
generators,capital,ES1 12,solar,1302646435.0566275,1302646435.0566275,1302498160.0073423
generators,capital,ES1 12,solar rooftop,127317102.46144676,227897001.69783378,315907170.8757955
generators,capital,ES1 2,onwind,344867880.4395907,29256350.465613034,169.37040953285148
generators,capital,ES1 2,solar,74862621.58861917,575820081.0066019,2896317053.682891
generators,capital,ES1 2,solar rooftop,394733284.5068305,706570683.5891162,979436956.5584874
generators,capital,ES1 3,offwind-ac,138.7817306507395,80.72537865838541,81.26959406037528
generators,capital,ES1 3,onwind,344867820.7974258,29256296.2393624,99.70175533826878
generators,capital,ES1 3,ror,33012614.9003796,33012614.9003796,33012614.9003796
generators,capital,ES1 3,solar,74862086.35193932,74863937.23286796,576137320.286931
generators,capital,ES1 3,solar rooftop,316748648.9048461,566978563.140162,785936597.3499651
generators,capital,ES1 4,offwind-ac,93.04179313954869,49.87338197880834,58.24489730521851
generators,capital,ES1 4,onwind,344867817.1338283,29256292.696089458,93.50914228629239
generators,capital,ES1 4,solar,2682700048.4771967,2682700048.4771967,2682551773.4279118
generators,capital,ES1 4,solar rooftop,193330819.3520621,346061238.2316419,479704541.8921995
generators,capital,ES1 5,offwind-ac,354.81926409462704,279.5050648227002,347.51119811746895
generators,capital,ES1 5,onwind,344869449.71419173,8691325588.609238,8688775326.234142
generators,capital,ES1 5,solar,74861539.35715005,74861491.90047514,74719115.21588947
generators,capital,ES1 5,solar rooftop,338.6459529112848,93800510.97533466,175878528.5675346
generators,capital,ES1 6,offwind-ac,129.63817338582314,75.5894844102516,80.2824500191098
generators,capital,ES1 6,onwind,344867932.4180202,29256388.924394492,229.1773365677649
generators,capital,ES1 6,solar,74861590.69064277,74861539.811531,1029814130.7354629
generators,capital,ES1 6,solar rooftop,71139573.04266472,182406542.5769921,279768190.6613811
generators,capital,ES1 7,offwind-ac,229.19671860312187,153.27721904251726,140.39230603601098
generators,capital,ES1 7,onwind,344867895.25933343,29256364.43784946,177.70056455455565
