cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,lines,AT0 0,AC1,-31507963.3428313,-17059281.354610227,-24604405.678459242
AC,lines,BA0 0,AC0,3183436.563782557,-51289.07018700871,-2604740.3945564274
AC,lines,BA0 0,AC1,-3183436.563782557,51289.07018700871,2604740.3945564274
AC,lines,BE0 0,AC0,4923810.766273975,-21094831.343395166,-15271844.425108247
AC,lines,BE0 0,AC1,-4923810.766273975,21094831.343395166,15271844.425108247
AC,lines,BG0 0,AC0,-10108102.690428993,-8422070.62077709,-19105608.73461065
AC,lines,BG0 0,AC1,10108102.690428993,8422070.62077709,19105608.73461065
AC,lines,CH0 0,AC0,-162860.6520298496,4183140.775995413,20016193.95585241
AC,lines,CH0 0,AC1,162860.6520298496,-4183140.775995413,-20016193.95585241
AC,lines,CZ0 0,AC0,-5344609.376193591,26555638.577978734,34715383.622841716
AC,lines,CZ0 0,AC1,5344609.376193591,-26555638.577978734,-34715383.622841716
AC,lines,DE0 0,AC0,98464090.90566948,193892970.68802023,176389327.51798764
AC,lines,DE0 0,AC1,-98464090.90566948,-193892970.68802023,-176389327.51798764
AC,lines,DK1 0,AC0,-15980668.294335049,-3279749.815362638,-4215675.732478088
AC,lines,DK1 0,AC1,15980668.294335049,3279749.815362638,4215675.732478088
AC,lines,EE2 0,AC0,4417652.948799429,-8486885.508862529,-15258278.632069752
AC,lines,EE2 0,AC1,-4417652.948799429,8486885.508862529,15258278.632069752
AC,lines,ES0 0,AC0,-24589036.30271055,-27965062.01874889,-19535520.93876696
AC,lines,ES0 0,AC1,24589036.30271055,27965062.01874889,19535520.93876696
AC,lines,FI1 0,AC0,18639895.245145984,13511115.031637339,26547469.2141472
AC,lines,FI1 0,AC1,-18639895.245145984,-13511115.031637339,-26547469.2141472
AC,lines,FR0 0,AC0,-5633023.480492551,-16163198.905575534,-34093240.02440534
AC,lines,FR0 0,AC1,5633023.480492551,16163198.905575534,34093240.02440534
AC,lines,GB5 0,AC0,-7716392.5230278205,-31837416.985086612,11540555.167513642
AC,lines,GB5 0,AC1,7716392.5230278205,31837416.985086612,-11540555.167513642
