cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
solid biomass,links,services rural biomass boiler0,-5623.772573691741,-5924.5359309266105,-5978.031176700869
solid biomass,links,services urban decentral biomass boiler0,-7691.91183843231,-8514.00942438593,-8568.757185338218
solid biomass,links,solid biomass for industry CC0,-0.041962043072785046,-0.05097570847834698,-61493.64964921867
solid biomass,links,solid biomass for industry0,-80180.34087123955,-80180.34484956847,-24836.083444772816
solid biomass,links,solid biomass transport0,-4560.974010065475,-5065.593094083329,-4859.715226736104
solid biomass,links,solid biomass transport1,4560.974010065475,5065.593094083329,4859.715226736104
solid biomass,links,solid biomass0,-0.01691522220521275,-0.008691533897447467,-0.005724118123278931
solid biomass,links,urban central solid biomass CHP CC0,-0.03796556964283711,-0.030402585667278447,-1999.4799498041634
solid biomass,links,urban central solid biomass CHP0,-57776.32973900613,-49912.60100133213,-71365.22542338494
solid biomass,stores,solid biomass,176524.7471749354,176137.34255737317,206094.49890519236
solid biomass for industry,links,solid biomass for industry CC1,0.03776583876550654,0.04587813763051228,55344.28468429681
solid biomass for industry,links,solid biomass for industry1,80180.34087123955,80180.34484956847,24836.083444772816
solid biomass for industry,loads,solid biomass for industry,-80180.36529680365,-80180.36529680365,-80180.36529680365
uranium,generators,uranium,2082115.4877259713,1438018.8211713505,63519.345886506075
uranium,links,nuclear (SMR)0,-0.0002435913956304712,-9.498144695379589e-05,-4.526894765206312e-05
uranium,links,nuclear0,-144792.45791627263,-89990.63147996317,-53926.98553002854
uranium,stores,uranium,126046.54534697533,78737.01097106934,40850.785029411316
urban central heat,generators,urban central solar thermal,7626.699241799593,23830.49342655304,23818.070520108522
urban central heat,links,DAC3,-0.0013971754572766422,-0.0004802028801694092,-0.00031453399587579804
urban central heat,links,Fischer-Tropsch3,0.003707281244454844,0.001805853488564574,831.6893162784976
urban central heat,links,H2 Electrolysis2,0.0007972838763183787,0.00026767166462766067,7.12067143375843e-05
urban central heat,links,H2 Fuel Cell2,0.00105659521739985,0.0003235830258565197,0.00022248307671369545
urban central heat,links,urban central air heat pump1,81069.6152627418,57668.036331388525,254081.75494475136
urban central heat,links,urban central gas CHP CC2,0.0034905214347292083,0.0009494001197721618,0.0002532382592417076
urban central heat,links,urban central gas CHP2,0.00284665955531051,0.0007627632519509787,0.00021377966551899887
urban central heat,links,urban central gas boiler1,154380.06769532638,256712.54650950138,248615.5803288669
urban central heat,links,urban central oil boiler1,23450.52524559441,1734.0991388328257,
urban central heat,links,urban central resistive heater1,20305.246990976695,88866.48102263828,109927.29359799539
urban central heat,links,urban central solid biomass CHP CC2,0.015450136040360983,0.005060938506965992,0.0022904734546372804
urban central heat,links,urban central solid biomass CHP2,0.012275859550906161,0.005484699681650148,0.003837544787916943
urban central heat,links,urban central water tanks charger0,-136006.76377339498,-168454.5224998618,-401116.760514028
urban central heat,links,urban central water tanks discharger1,95547.83552881163,134662.97638135456,290205.6133415034
urban central heat,loads,low-temperature heat for industry,-6767.123287671233,-6756.8493150684935,-6744.292237442923
urban central heat,loads,urban central heat,-296335.2180974601,-411872.2238231553,-536647.8654157592
urban central water tanks,links,urban central water tanks charger1,113796.8592491996,140945.89897563437,335614.39352208725
urban central water tanks,links,urban central water tanks discharger0,-114196.0505901896,-160945.35243379293,-346845.4802695153
urban central water tanks,stores,urban central water tanks,114192.28495073413,190703.32193056878,974064.4508649529
