cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
solid biomass,links,BioSNG0,-152.86168482847248,-92.66268587731976,-624687.7701492945
solid biomass,links,biomass to liquid0,-87.25260719876839,-58.42159247737341,-60.00845223424919
solid biomass,links,residential rural biomass boiler0,-36665942.96075891,-38449631.99491678,-33468717.408666506
solid biomass,links,residential urban decentral biomass boiler0,-98065540.85360654,-101600156.16407447,-78885244.8031522
solid biomass,links,services rural biomass boiler0,-42287266.11898447,-29080990.95407991,-22015939.72910033
solid biomass,links,services urban decentral biomass boiler0,-44144096.40766329,-44084423.05655278,-33878232.15540507
solid biomass,links,solid biomass for industry CC0,-318.56342569677963,-369.4455053713508,-538684360.5610372
solid biomass,links,solid biomass for industry0,-702379713.2928147,-702379667.4989431,-217564075.4949644
solid biomass,links,solid biomass transport0,-22086146.043683782,-22085973.418291174,-22118200.85939705
solid biomass,links,solid biomass transport1,22086146.043683782,22085973.418291174,22118200.85939705
solid biomass,links,solid biomass0,-110.17230739406811,-56.0037909423478,-27.498412979315074
solid biomass,links,urban central solid biomass CHP CC0,-273.8972884672783,-223.72945506055362,-11420798.181056052
solid biomass,links,urban central solid biomass CHP0,-262102066.12074226,-270049898.5928441,-249103424.9204334
solid biomass,stores,solid biomass,1185645568.4998987,1185645568.5236256,1185645568.5301895
solid biomass for industry,links,solid biomass for industry CC1,286.70708312710167,332.50095483421575,484815924.50493354
solid biomass for industry,links,solid biomass for industry1,702379713.2928147,702379667.4989431,217564075.4949644
solid biomass for industry,loads,solid biomass for industry,-702380000.0,-702380000.0,-702380000.0
uranium,generators,uranium,1237635555.5946834,730676801.179455,423182510.46780074
uranium,links,nuclear (SMR)0,-1.9837666522879327,-0.8034466219267969,-0.33857479573200766
uranium,links,nuclear0,-1237635553.612426,-730676800.3767518,-423182510.1301614
uranium,stores,uranium,0.0,0.0,0.0
urban central heat,generators,urban central solar thermal,10316496.001119964,29892544.7570801,30177505.46901996
urban central heat,links,DAC3,-20.25862728869913,-6.44059599367768,-6.9294969883680775
urban central heat,links,Fischer-Tropsch3,32.43558510797295,15.765493924363252,7135721.204205503
urban central heat,links,H2 Electrolysis2,30.200171058671234,44411401.05776332,188257244.50656068
urban central heat,links,H2 Fuel Cell2,41.15940658294779,15.36089857351452,10.133345962494426
urban central heat,links,urban central air heat pump1,259886328.94979164,265299043.29984194,853946255.1669464
urban central heat,links,urban central gas CHP CC2,87.19633951352098,39.10638549085726,10.336730492112286
urban central heat,links,urban central gas CHP2,113.37894901508241,56.05963444429771,15.719310429012157
urban central heat,links,urban central gas boiler1,369577723.7199866,580495530.3648165,278444179.0671632
urban central heat,links,urban central oil boiler1,748699.8683196094,34270.3370919604,
urban central heat,links,urban central resistive heater1,9114254.08525858,68318731.54099768,106847849.87185395
urban central heat,links,urban central solid biomass CHP CC2,239.88965333660414,195.66729324176345,10016850.881457014
urban central heat,links,urban central solid biomass CHP2,216103153.51655203,222831917.53929126,205995571.88505566
urban central heat,links,urban central water tanks charger0,-53526630.52684103,-104047821.1542524,-333166113.4924468
urban central heat,links,urban central water tanks discharger1,36669542.20433831,71114667.06039041,204264292.17502278
urban central heat,loads,low-temperature heat for industry,-59279999.99999999,-59190000.0,-59080000.00000001
urban central heat,loads,urban central heat,-789610091.8170265,-1119160600.320689,-1492839385.9925573
urban central water tanks,links,urban central water tanks charger1,44785731.76180788,87056811.95976298,278760087.1591302
urban central water tanks,links,urban central water tanks discharger0,-43826392.02143936,-84994223.80828303,-244130861.92783886
urban central water tanks,stores,urban central water tanks,-959339.7403685263,-2062588.1515178422,-34629225.23134891
